"state","excess_deaths_per_100k_wa","total_deaths_wa","covid_deaths_wa","expected_deaths_wa","excess_deaths_wa","Stringency","Mobility_a","Density","Per_capita_Real_GDP"
"Massachusetts",3.18727063039735,1327.95,282.675,1106.45053192242,221.499468077583,59.4377702702703,-31.1530100334448,864.8,75258
"Ohio",3.13976177473052,2722.625,186.825,2355.61510638997,367.009893610025,57.3996621621622,-13.8189556442876,283.7,52664
"Nevada",3.03442423023671,587.15,62.4,493.68500000691,93.4649999930898,46.835472972973,-18.121762147854,25.9,50043
"Florida",3.0008827378741,4665.075,494.575,4020.553297881,644.521702118998,50.7777702702703,-26.261629683966,371,44267
"Maryland",2.89787017241041,1149.125,128.05,973.929042560618,175.195957439382,59.4858108108108,-28.7508918472113,615.7,61926
"Georgia",2.86383853274084,1950.55,230,1646.48414894191,304.065851058088,49.4278040540541,-16.7709394300574,175.6,50816
"Colorado",2.66255975664104,910.35,96.6,757.0202127728,153.3297872272,55.7460810810811,-27.0517104216388,51.7,61311
"Delaware",2.48433868352244,204.225,20.375,180.033404261785,24.1915957382154,59.4657094594595,-21.1265547263682,480.1,64985
"New Mexico",2.46027529909124,421.125,47.825,369.537234048818,51.5877659511819,75.207027027027,-22.5888212994799,17.2,46304
"Kentucky",2.43064085262115,1035.6,54.75,927.006914900475,108.593085099525,59.5271621621622,-15.2502232427606,111.8,42386
"Idaho",2.15273337427979,318.575,29.175,280.104255324927,38.4707446750732,48.6220608108108,-8.24343352288113,19.8,40566
"Wisconsin",2.13826090222855,1196.575,100.975,1072.07617021994,124.498829780062,44.6039527027027,-19.1644267114658,106.3,52534
"Minnesota",2.13424594042892,992.05,108.975,871.686382984869,120.363617015131,56.1479054054054,-28.2167702540617,68.5,60066
"Kansas",2.10805478953467,581.875,51.8,520.460744688816,61.4142553111839,47.3710135135135,-13.1362479150206,35.5,53528
"California",2.08095665495182,5895.325,524.15,5073.0927659621,822.232234037903,62.0919932432432,-30.1807354842259,249.1,70662
"Utah",2.05142982896597,424.625,25.975,358.857021283879,65.7679787161208,39.6725675675676,-16.5831735889244,35.8,51407
"Oklahoma",2.00614173824671,847.175,51.05,767.792553198682,79.3824468013183,36.241722972973,-9.84008748231056,56.5,50876
"Virginia",1.91773229311645,1505.175,110.15,1341.48659575191,163.688404248091,51.8715878378378,-23.739793177545,210.8,56938
"Vermont",1.77712147902786,121.075,2.375,109.985957454229,11.0890425457711,61.0590878378378,-30.2784739626845,68,48855
"Wyoming",1.55407720568566,105.95,8.025,96.9556383051457,8.99436169485426,46.950472972973,-8.21124497991968,6,67915
"Washington",1.3154206150133,1201.25,71.375,1101.0821276668,100.167872333204,57.3916554054054,-22.8982905982906,106.3,69761
"New Hampshire",1.30038584334279,258.825,15,241.143510645625,17.6814893543747,48.9669256756757,-22.4392523364486,148.2,57272
"Oregon",1.27418838317848,754.225,28.425,700.483085112979,53.7419148870206,54.1569256756757,-19.8061139028476,41.4,52726
"Maine",0.795799623555208,295.925,6.425,285.227765964216,10.6972340357839,67.6397297297297,-17.8168168168168,43.1,43541
"Alaska",0.588073361309855,91.925,4.175,87.6229787290058,4.30202127099418,53.4565202702703,-19.7959576515881,1.3,74422
"Hawaii",0.486520718813017,228.6,6.725,221.711489368128,6.88851063187224,71.7277288135593,-47.6160366552119,221,58981
"North Carolina",0.0160461866562259,1801.67741935484,121.451612903226,1799.99448181954,1.68293753530142,57.9879054054054,-19.802305288364,204.5,48496
"West Virginia",-0.375307596812001,435.725,24.15,442.451063837038,-6.72606383703833,53.6881756756757,-15.8457490544318,77,40265
